ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT,EVENT TYPE
Nicolas Vachon,Canada,Weightlifting,Men's 81kg,B,Caribbean & Americans,Single
Nishan Randhawa,Canada,Wrestling,Men's Freestyle 97 kg,G,Caribbean & Americans,Single
Patrick Hussey,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans,Mixed
Priyanka Dhillon,Canada,Boxing,Women’s Over 45kg-48kg (Minimumweight),B,Caribbean & Americans,Single
Rebecca Smith,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans,Mixed
Rebecca Smith,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans,Mixed
Rebecca Smith,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,B,Caribbean & Americans,Mixed
Robert Hedges,Canada,3x3 Wheelchair Basketball,Men,S,Caribbean & Americans,Mixed
Rosalie Mercille,Canada,3x3 Basketball,Women,G,Caribbean & Americans,Mixed
Ruslan Gaziev,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans,Mixed
Ruslan Gaziev,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans,Mixed
Ruslan Gaziev,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans,Mixed
Rylan Mackenzie Wiens,Canada,Aquatics - Diving,Men's Synchronised 10m Platform,S,Caribbean & Americans,Mixed
Rylan Mackenzie Wiens,Canada,Aquatics - Diving,Men's 10m Platform,S,Caribbean & Americans,Single
Sam Schachter,Canada,Beach Volleyball,Men,S,Caribbean & Americans,Mixed
Samantha Stewart,Canada,Wrestling,Women's Freestyle 53 kg,S,Caribbean & Americans,Single
Sarah Mitton,Canada,Athletics and Para Athletics,Women's Shot Put,G,Caribbean & Americans,Single
Sarah Orban,Canada,Cycling - Track and Para Track,Women's Team Sprint,S,Caribbean & Americans,Mixed
Sarah Pavan,Canada,Beach Volleyball,Women,G,Caribbean & Americans,Mixed
Sarah Te-Biasu,Canada,3x3 Basketball,Women,G,Caribbean & Americans,Mixed
Shad Darsigny,Canada,Weightlifting,Men's 73kg,B,Caribbean & Americans,Single
Shady Elnahas,Canada,Judo,Men -100 kg,G,Caribbean & Americans,Single
Sophie Angus,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans,Mixed
Sophie Angus,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,S,Caribbean & Americans,Mixed
Stephen Calkins,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans,Mixed
Stephen Calkins,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans,Mixed
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,B,Caribbean & Americans,Mixed
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,S,Caribbean & Americans,Mixed
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,S,Caribbean & Americans,Mixed
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley,G,Caribbean & Americans,Single
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 400m Freestyle,S,Caribbean & Americans,Single
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 400m Individual Medley,G,Caribbean & Americans,Single
Suzanna Shahbazian,Canada,Gymnastics - Rhythmic,Team,G,Caribbean & Americans,Mixed
Suzanna Shahbazian,Canada,Gymnastics - Rhythmic,Ball,S,Caribbean & Americans,Single
Tali Darsigny,Canada,Weightlifting,Women's 59kg,B,Caribbean & Americans,Single
Tamara Steeves,Canada,3x3 Wheelchair Basketball,Women,G,Caribbean & Americans,Mixed
Tammara Thibeault,Canada,Boxing,Women’s Over 70kg-75kg (Middleweight),G,Caribbean & Americans,Single
Tara Llanes,Canada,3x3 Wheelchair Basketball,Women,G,Caribbean & Americans,Mixed
Tara Wallack,Canada,3x3 Basketball,Women,G,Caribbean & Americans,Mixed
Tatiana Cocsanova,Canada,Gymnastics - Rhythmic,Team,G,Caribbean & Americans,Mixed
Taya Hanson,Canada,3x3 Basketball,Women,G,Caribbean & Americans,Mixed
Vincent Dallaire,Canada,3x3 Wheelchair Basketball,Men,S,Caribbean & Americans,Mixed
Wyatt Sanford,Canada,Boxing,Men’s Over 60kg-63.5kg (Light Welterweight),B,Caribbean & Americans,Single
Zachary Gingras,Canada,Athletics and Para Athletics,Men's T37/38 100m,B,Caribbean & Americans,Single
Alexandros Poursanidis,Cyprus,Athletics and Para Athletics,Men's Hammer Throw,B,Europe,Single
Anna Sokolova,Cyprus,Gymnastics - Rhythmic,Ball,B,Europe,Single
Anna Sokolova,Cyprus,Gymnastics - Rhythmic,Hoop,S,Europe,Single
Anna Sokolova,Cyprus,Gymnastics - Rhythmic,Individual All-Around,S,Europe,Single
Georgios Angonas,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe,Mixed
Georgios Balarjishvili,Cyprus,Judo,Men -66 kg,G,Europe,Single
Ilias Georgiou,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe,Mixed
Ilias Georgiou,Cyprus,Gymnastics - Artistic,Men's Horizontal Bar,G,Europe,Single
Marios Georgiou,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe,Mixed
Marios Georgiou,Cyprus,Gymnastics - Artistic,Men's All-Around,B,Europe,Single
Marios Georgiou,Cyprus,Gymnastics - Artistic,Men's Horizontal Bar,B,Europe,Single
Marios Georgiou,Cyprus,Gymnastics - Artistic,Men's Parallel Bars,B,Europe,Single
Michalis Chari,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe,Mixed
Sokratis Pilakouris,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe,Mixed
Sokratis Pilakouris,Cyprus,Gymnastics - Artistic,Men's Rings,S,Europe,Single
Thea Lafond,Dominica,Athletics and Para Athletics,Women's Triple Jump,S,Caribbean & Americans,Single
Aaron Bowen,England,Boxing,Men’s Over 75kg-80kg (Light Heavyweight),B,Europe,Single
Abbie Wood,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe,Mixed
Abbie Wood,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe,Mixed
Abbie Wood,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,S,Europe,Mixed
Abbie Wood,England,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,B,Europe,Mixed
Abbie Wood,England,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley,B,Europe,Single
Abderrahim Taghrest,England,3x3 Wheelchair Basketball,Men,B,Europe,Mixed
Acelya Toprak,England,Judo,Women -57 kg,S,Europe,Single
Adam Hague,England,Athletics and Para Athletics,Men's Pole Vault,S,Europe,Single
Adam Peaty,England,Aquatics - Swimming and Para Swimming,Men's 50m Breaststroke,G,Europe,Single
Adrian Waller,England,Squash,Men's Doubles,S,Europe,Mixed
Adrian Waller,England,Squash,Mixed Doubles,S,Europe,Mixed
Alex Yee,England,Triathlon and Para Triathlon,Mixed Team Relay,G,Europe,Mixed
Alex Yee,England,Triathlon and Para Triathlon,Men's Individual (Sprint Distance),G,Europe,Single
Alice Kinsella,England,Gymnastics - Artistic,Women's Team,G,Europe,Mixed
Alice Kinsella,England,Gymnastics - Artistic,Women's Floor Exercise,G,Europe,Single
Alice Rose Leaper,England,Gymnastics - Rhythmic,Team,B,Europe,Mixed
Alice Tai,England,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke S8,G,Europe,Single
Alicia Wilson,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe,Mixed
Alison Waters,England,Squash,Mixed Doubles,S,Europe,Mixed
Alison Waters,England,Squash,Women's Doubles,S,Europe,Mixed
Alison Yearling,England,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,B,Europe,Mixed
Ama Pipi,England,Athletics and Para Athletics,Women's 4 x 400m Relay,G,Europe,Mixed
Amy Conroy,England,3x3 Wheelchair Basketball,Women,B,Europe,Mixed
Amy Elisabeth Rollinson,England,Aquatics - Diving,Women's 1m Springboard,B,Europe,Single
Amy Pharaoh,England,Lawn Bowls and Para Lawn Bowls,Women's Pairs,S,Europe,Mixed
Amy Platten,England,Judo,Women -48 kg,B,Europe,Single
Andrea Spendolini Sirieix,England,Aquatics - Diving,Mixed Synchronised 10m Platform,G,Europe,Mixed
Andrea Spendolini Sirieix,England,Aquatics - Diving,Women's Synchronised 10m Platform,S,Europe,Mixed
Andrea Spendolini Sirieix,England,Aquatics - Diving,Women's 10m Platform,G,Europe,Single
Andrew Pozzi,England,Athletics and Para Athletics,Men's 110m Hurdles,B,Europe,Single
Anna Henderson,England,Cycling - Road,Women's Individual Time Trial,S,Europe,Single
Anna Hopkin,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe,Mixed
Anna Hopkin,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,S,Europe,Mixed
Anna Hopkin,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,B,Europe,Mixed
Anna Toman,England,Hockey,Women,G,Europe,Mixed
Anthony Harding,England,Aquatics - Diving,Men's Synchronised 3m Springboard,G,Europe,Mixed
Asha Philip,England,Athletics and Para Athletics,Women's 4 x 100m Relay,S,Europe,Mixed
Ashleigh Nelson,England,Athletics and Para Athletics,Women's 4 x 100m Relay,S,Europe,Mixed
Ashley McKenzie,England,Judo,Men -60 kg,G,Europe,Single
Ben Lane,England,Badminton,Men's Doubles,S,Europe,Mixed
Ben Pattison,England,Athletics and Para Athletics,Men's 800m,B,Europe,Single
Benjamin Proud,England,Aquatics - Swimming and Para Swimming,Men's 50m Butterfly,G,Europe,Single
Benjamin Proud,England,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle,G,Europe,Single
Bianca Williams,England,Athletics and Para Athletics,Women's 4 x 100m Relay,S,Europe,Mixed
Brendan Creed,England,Hockey,Men,B,Europe,Mixed
Brodie Paul Williams,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe,Mixed
Brodie Paul Williams,England,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke,S,Europe,Single
Brodie Paul Williams,England,Aquatics - Swimming and Para Swimming,Men's 200m Backstroke,G,Europe,Single
Cameron Kurle,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe,Mixed
Chantelle Handy,England,3x3 Basketball,Women,S,Europe,Mixed
Charlie McIntyre,England,3x3 Wheelchair Basketball,Men,B,Europe,Mixed
Charlie Tanfield,England,Cycling - Track and Para Track,Men's 4000m Team Pursuit,S,Europe,Mixed
Charlotte Moore,England,3x3 Wheelchair Basketball,Women,B,Europe,Mixed
Cheridene Green,England,3x3 Basketball,Women,S,Europe,Mixed
Chloe Birch,England,Badminton,Women's Doubles,S,Europe,Mixed
Chris Murray,England,Weightlifting,Men's 81kg,G,Europe,Single
Chris Turnbull,England,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,B,Europe,Mixed
Christopher Griffiths,England,Hockey,Men,B,Europe,Mixed
Cindy Sember,England,Athletics and Para Athletics,Women's 100m Hurdles,B,Europe,Single
Claudia Fragapane,England,Gymnastics - Artistic,Women's Team,G,Europe,Mixed
Courtney Tulloch,England,Gymnastics - Artistic,Men's Team,G,Europe,Mixed
Courtney Tulloch,England,Gymnastics - Artistic,Men's Rings,G,Europe,Single
Craig Bowler,England,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,B,Europe,Mixed
Daniel Bigham,England,Cycling - Track and Para Track,Men's 4000m Team Pursuit,S,Europe,Mixed
Daniel Goodfellow,England,Aquatics - Diving,Men's 3m Springboard,G,Europe,Mixed
Daniel Jonathan Sidbury,England,Athletics and Para Athletics,Men's T53/54 1500m,S,Europe,Single
Daniel Powell,England,Judo,Men -73 kg,G,Europe,Single
Daryl Selby,England,Squash,Men's Doubles,S,Europe,Mixed
Daryll Neita,England,Athletics and Para Athletics,Women's 4 x 100m Relay,S,Europe,Mixed
Daryll Neita,England,Athletics and Para Athletics,Women's 100m,B,Europe,Single
David Condon,England,Hockey,Men,B,Europe,Mixed
David Ellis,England,Triathlon and Para Triathlon,Men's PTVI,G,Europe,Single
David Goodfield,England,Hockey,Men,B,Europe,Mixed
Declan James,England,Squash,Men's Doubles,G,Europe,Mixed
Delicious Orie,England,Boxing,Men’s Over 92kg (Super Heavyweight),G,Europe,Single
Demie-Jade Resztan,England,Boxing,Women’s Over 45kg-48kg (Minimumweight),S,Europe,Single
Eden Cheng,England,Aquatics - Diving,Women's Synchronised 10m Platform,S,Europe,Mixed
Eden Rainbow-Cooper,England,Athletics and Para Athletics,Women's T53/54 Marathon,S,Europe,Single
Edward Mildred,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe,Mixed
Edward Mildred,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe,Mixed
Edward Mildred,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe,Mixed
Elena Rayer,England,Hockey,Women,G,Europe,Mixed
Elizabeth Bird,England,Athletics and Para Athletics,Women's 3000m Steeplechase,S,Europe,Single
Emily Campbell,England,Weightlifting,Women's 87+kg,G,Europe,Single
Emily Martin,England,Aquatics - Diving,Women's Synchronised 10m Platform,B,Europe,Mixed
Emma Reid,England,Judo,Women -78 kg,G,Europe,Single
Emmanuel Temitayo Oyinbo-Coker,England,Athletics and Para Athletics,Men's T45-47 100m,G,Europe,Single
Ethan Vernon,England,Cycling - Track and Para Track,Men's 4000m Team Pursuit,S,Europe,Mixed
Evie Richards,England,Cycling - Mountain Bike,Women's Cross-country,G,Europe,Single
Fabienne Andre,England,Athletics and Para Athletics,Women's T33/34 100m,B,Europe,Single
Fiona Crackles,England,Hockey,Women,G,Europe,Mixed
Flora Peel,England,Hockey,Women,G,Europe,Mixed
Fraer Morrow,England,Weightlifting,Women's 55kg,B,Europe,Single
Fred Wright,England,Cycling - Road,Men's Individual Time Trial,S,Europe,Single
Freya Anderson,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe,Mixed
Freya Anderson,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe,Mixed
Freya Anderson,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,S,Europe,Mixed
Freya Anderson,England,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,B,Europe,Mixed
Freya Colbert,England,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,B,Europe,Mixed
Gemma Howell,England,Judo,Women -63 kg,S,Europe,Single
Gemma Paige Richardson,England,Boxing,Women’s Over 57kg-60kg (Lightweight),S,Europe,Single
George Ramm,England,Wrestling,Men's Freestyle 65 kg,B,Europe,Single
Georgia Taylor-Brown,England,Triathlon and Para Triathlon,Mixed Team Relay,G,Europe,Mixed
Georgia Taylor-Brown,England,Triathlon and Para Triathlon,Women's Individual (Sprint Distance),S,Europe,Single
Georgia-Mae Fenton,England,Gymnastics - Artistic,Women's Team,G,Europe,Mixed
Georgia-Mae Fenton,England,Gymnastics - Artistic,Women's Uneven Bars,G,Europe,Single
Georgina Kennedy,England,Squash,Women's Singles,G,Europe,Single
Georgina Nelthorpe,England,Wrestling,Women's Freestyle 76 kg,B,Europe,Single
Giarnni Regini-Moran,England,Gymnastics - Artistic,Men's Team,G,Europe,Mixed
Giarnni Regini-Moran,England,Gymnastics - Artistic,Men's Floor Exercise,B,Europe,Single
Giarnni Regini-Moran,England,Gymnastics - Artistic,Men's Parallel Bars,S,Europe,Single
Giarnni Regini-Moran,England,Gymnastics - Artistic,Men's Vault,S,Europe,Single
Giselle Ansley,England,Hockey,Women,G,Europe,Mixed
Grace Balsdon,England,Hockey,Women,G,Europe,Mixed
Grace Harvey,England,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke SB6,S,Europe,Single
Greg Butler,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe,Mixed
Greg Butler,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe,Mixed
Hamish Turnbull,England,Cycling - Track and Para Track,Men's Team Sprint,S,Europe,Mixed
Hannah Cockroft,England,Athletics and Para Athletics,Women's T33/34 100m,G,Europe,Single
Hannah Jump,England,3x3 Basketball,Women,S,Europe,Mixed
Hannah Martin,England,Hockey,Women,G,Europe,Mixed
Hannah Russell,England,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle S13,S,Europe,Single
Harry Aikines-Aryeetey,England,Athletics and Para Athletics,Men's 4 x 100m Relay,G,Europe,Mixed
Harry Coppell,England,Athletics and Para Athletics,Men's Pole Vault,B,Europe,Single
Harry Lovell-Hewitt,England,Judo,Men -100 kg,B,Europe,Single
Hollie Pearne-Webb,England,Hockey,Women,G,Europe,Mixed
Holly Hunt,England,Hockey,Women,G,Europe,Mixed
Ian Sloan,England,Hockey,Men,B,Europe,Mixed
Imani Lansiquot,England,Athletics and Para Athletics,Women's 4 x 100m Relay,S,Europe,Mixed
Imogen Louise Clark,England,Aquatics - Swimming and Para Swimming,Women's 50m Breaststroke,S,Europe,Single
Isabella Hindley,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe,Mixed
Isabella Hindley,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,S,Europe,Mixed
Isabelle Petter,England,Hockey,Women,G,Europe,Mixed
Jack David Laugher,England,Aquatics - Diving,Men's Synchronised 3m Springboard,G,Europe,Mixed
Jack David Laugher,England,Aquatics - Diving,Men's 1m Springboard,G,Europe,Single
Jack David Laugher,England,Aquatics - Diving,Men's 3m Springboard,B,Europe,Single
Jack Hunter-Spivey,England,Table Tennis and Para Table Tennis,Men's Singles Classes 3-5,G,Europe,Single
Jack Waller,England,Hockey,Men,B,Europe,Mixed
Jacob Thomas Taylor Peters,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe,Mixed
Jacob Whittle,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe,Mixed
Jacob Whittle,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe,Mixed
Jacob Whittle,England,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,S,Europe,Mixed
Jacob Whittle,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe,Mixed
Jade Atkin,England,3x3 Wheelchair Basketball,Women,B,Europe,Mixed
Jade Lally,England,Athletics and Para Athletics,Women's Discus Throw,S,Europe,Single
Jade O'dowda,England,Athletics and Para Athletics,Women's Heptathlon,B,Europe,Single
Jake Jarman,England,Gymnastics - Artistic,Men's Team,G,Europe,Mixed
Jake Jarman,England,Gymnastics - Artistic,Men's All-Around,G,Europe,Single
Jake Jarman,England,Gymnastics - Artistic,Men's Floor Exercise,G,Europe,Single
Jake Jarman,England,Gymnastics - Artistic,Men's Vault,G,Europe,Single
Jamal Petgrave,England,Judo,Men -90 kg,G,Europe,Single
Jamell Anderson,England,3x3 Basketball,Men,G,Europe,Mixed
James Albery,England,Hockey,Men,B,Europe,Mixed
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe,Mixed
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe,Mixed
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,S,Europe,Mixed
James Guy,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe,Mixed
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly,S,Europe,Single
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 200m Butterfly,B,Europe,Single
James Hall,England,Gymnastics - Artistic,Men's Team,G,Europe,Mixed
James Hall,England,Gymnastics - Artistic,Men's All-Around,S,Europe,Single
James Hollis,England,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly S10,B,Europe,Single
James Mazarelo,England,Hockey,Men,B,Europe,Mixed
James Wilby,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe,Mixed
James Wilby,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe,Mixed
James Wilby,England,Aquatics - Swimming and Para Swimming,Men's 100m Breaststroke,G,Europe,Single
James Wilby,England,Aquatics - Swimming and Para Swimming,Men's 200m Breaststroke,S,Europe,Single
James Willstrop,England,Squash,Men's Doubles,G,Europe,Mixed
Jamie Chestney,England,Lawn Bowls and Para Lawn Bowls,Men's Fours,B,Europe,Mixed
Jamie Chestney,England,Lawn Bowls and Para Lawn Bowls,Men's Triples,G,Europe,Mixed
Jamie Ingram,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe,Mixed
Jamie Lea Winch,England,Lawn Bowls and Para Lawn Bowls,Women's Triples,G,Europe,Mixed
Jamie Walker,England,Lawn Bowls and Para Lawn Bowls,Men's Pairs,S,Europe,Mixed
Javier Bello,England,Beach Volleyball,Men,B,Europe,Mixed
Jaydon Kayne Henry-Mccalla,England,3x3 Basketball,Men,G,Europe,Mixed
Jessica Gordon Brown,England,Weightlifting,Women's 59kg,S,Europe,Single
Jessica-Jane Applegate,England,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle S14,S,Europe,Single
Jessie Knight,England,Athletics and Para Athletics,Women's 4 x 400m Relay,G,Europe,Mixed
Joaquin Bello,England,Beach Volleyball,Men,B,Europe,Mixed
Jodie Williams,England,Athletics and Para Athletics,Women's 4 x 400m Relay,G,Europe,Mixed
Jodie Williams,England,Athletics and Para Athletics,Women's 400m,B,Europe,Single
Joe Fraser,England,Gymnastics - Artistic,Men's Team,G,Europe,Mixed
Joe Fraser,England,Gymnastics - Artistic,Men's Parallel Bars,G,Europe,Single
Joe Fraser,England,Gymnastics - Artistic,Men's Pommel Horse,G,Europe,Single
Joe Litchfield,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe,Mixed
Joe Litchfield,England,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,S,Europe,Mixed
Joe Truman,England,Cycling - Track and Para Track,Men's Team Sprint,S,Europe,Mixed
Johnboy Smith,England,Athletics and Para Athletics,Men's T53/54 Marathon,G,Europe,Single
Jona Efoloko,England,Athletics and Para Athletics,Men's 4 x 100m Relay,G,Europe,Mixed
Jordan Houlden,England,Aquatics - Diving,Men's 1m Springboard,B,Europe,Single
Jordan Houlden,England,Aquatics - Diving,Men's 3m Springboard,S,Europe,Single
Josie Knight,England,Cycling - Track and Para Track,Women's 4000m Team Pursuit,B,Europe,Mixed
Joy Haizelden,England,3x3 Wheelchair Basketball,Women,B,Europe,Mixed
Kare Adenegan,England,Athletics and Para Athletics,Women's T33/34 100m,S,Europe,Single
Katarina Johnson-Thompson,England,Athletics and Para Athletics,Women's Heptathlon,G,Europe,Single
Katie Crowhurst,England,Triathlon and Para Triathlon,Women's PTVI,G,Europe,Single
Katie-Jemima Yeats-Brown,England,Judo,Women -70 kg,B,Europe,Single
Keely Hodgkinson,England,Athletics and Para Athletics,Women's 800m,S,Europe,Single
Kelly Petersen-Pollard,England,Judo,Women -70 kg,B,Europe,Single
Kelly Simm,England,Gymnastics - Artistic,Women's Team,G,Europe,Mixed
Kiaran Macdonald,England,Boxing,Men’s Over 48kg-51kg (Flyweight),S,Europe,Single
Kieran Rollings,England,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,B,Europe,Mixed
Kyle Kothari,England,Aquatics - Diving,Mixed Synchronised 10m Platform,S,Europe,Mixed
Lachlan Moorhead,England,Judo,Men -81 kg,G,Europe,Single
Laura Kenny,England,Cycling - Track and Para Track,Women's 4000m Team Pursuit,B,Europe,Mixed
Laura Kenny,England,Cycling - Track and Para Track,Women's 10km Scratch Race,G,Europe,Single
Laura Stephens,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,B,Europe,Mixed
Laura Stephens,England,Aquatics - Swimming and Para Swimming,Women's 200m Butterfly,S,Europe,Single
Laura Unsworth,England,Hockey,Women,G,Europe,Mixed
Lauren Cox,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe,Mixed
Lauren Cox,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,B,Europe,Mixed
Lauren Smith,England,Badminton,Mixed Doubles,S,Europe,Mixed
Lauren Smith,England,Badminton,Women's Doubles,S,Europe,Mixed
Lawrence Okoye,England,Athletics and Para Athletics,Men's Discus Throw,S,Europe,Single
Lee Manning,England,3x3 Wheelchair Basketball,Men,B,Europe,Mixed
Lewis Edward Burras,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe,Mixed
Lewis Edward Burras,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe,Mixed
Lewis Edward Burras,England,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle,S,Europe,Single
Lewis Richardson,England,Boxing,Men’s Over 71kg-75kg (Middleweight),B,Europe,Single
Lewis Williams,England,Boxing,Men’s Over 86kg-92kg (Heavyweight),G,Europe,Single
Liam Ansell,England,Hockey,Men,B,Europe,Mixed
Liam Pitchford,England,Table Tennis and Para Table Tennis,Men's Doubles,G,Europe,Mixed
Liam Pitchford,England,Table Tennis and Para Table Tennis,Men's Team,B,Europe,Mixed
Liam Pitchford,England,Table Tennis and Para Table Tennis,Men's Singles,S,Europe,Single
Lily Owsley,England,Hockey,Women,G,Europe,Mixed
Lily Walker,England,Hockey,Women,G,Europe,Mixed
Lois Mae Toulson,England,Aquatics - Diving,Mixed Synchronised 10m Platform,S,Europe,Mixed
Lois Mae Toulson,England,Aquatics - Diving,Women's 10m Platform,S,Europe,Single
Louis Ridout,England,Lawn Bowls and Para Lawn Bowls,Men's Fours,B,Europe,Mixed
Louis Ridout,England,Lawn Bowls and Para Lawn Bowls,Men's Triples,G,Europe,Mixed
Louise Fiddes,England,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle S14,B,Europe,Single
Luke Greenbank,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe,Mixed
Luke Thomas Turley,England,Aquatics - Swimming and Para Swimming,Men's 1500m Freestyle,B,Europe,Single
Madelaine Leech,England,Cycling - Track and Para Track,Women's 4000m Team Pursuit,B,Europe,Mixed
Madeleine Hinch,England,Hockey,Women,G,Europe,Mixed
Maisie Summers-Newton,England,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke SB6,G,Europe,Single
Mandhir Kooner,England,Wrestling,Men's Freestyle 125 kg,B,Europe,Single
Marcus Ellis,England,Badminton,Mixed Doubles,S,Europe,Mixed
Marfa Ekimova,England,Gymnastics - Rhythmic,Team,B,Europe,Mixed
Marfa Ekimova,England,Gymnastics - Rhythmic,Individual All-Around,G,Europe,Single
Mark Swan,England,Para Powerlifting,Men's Lightweight,S,Europe,Single
